vendor_account_nb,Max_final_score_date,Min_data_clctn_start_date,NM1_discount_pc,NM1_score_qt,NM1_channel_cd,NM1_rate_state_abbr_nm
24093616,2021-02-25,2020-10-05,35,86,IA,GA
22129361,2021-02-17,2020-10-05,12,180,EA,GA
23924405,2021-02-16,2020-10-05,32,102,EA,GA
38199273,2021-02-16,2020-10-05,21,161,IA,GA
94504010,2021-02-16,2020-10-05,31,123,EA,GA
63510208,2021-02-16,2020-10-05,31,116,EA,GA
86087260,2021-03-02,2020-10-06,31,124,EA,GA
78319385,2021-02-16,2020-10-06,0,998,EA,GA
12861736,2021-02-26,2020-10-06,32,94,EA,GA
50274024,2021-02-17,2020-10-07,21,158,EA,GA
22759414,2021-02-17,2020-10-07,12,167,IA,GA
98118697,2021-02-26,2020-10-07,5,181,IA,GA
78685727,2021-02-18,2020-10-08,25,154,EA,GA
60230391,2021-02-18,2020-10-08,31,122,EA,GA
33765557,2021-02-18,2020-10-08,5,193,EA,GA
30273480,2021-02-25,2020-10-08,40,53,EA,GA
86865016,2021-02-18,2020-10-08,35,65,IA,GA
63712092,2021-02-19,2020-10-09,25,152,EA,GA
50075453,2021-02-19,2020-10-09,21,160,EA,GA
40469762,2021-02-19,2020-10-09,35,90,EA,GA
18980257,2021-02-19,2020-10-09,32,102,EA,GA
47746535,2021-02-19,2020-10-09,40,56,EA,GA
82118245,2021-02-19,2020-10-09,21,162,IA,GA
72813324,2021-02-19,2020-10-09,28,143,EA,GA
77645286,2021-02-19,2020-10-09,25,145,EA,GA
63587314,2021-02-25,2020-10-09,5,183,IA,GA
59133433,2020-10-13,2020-10-09,0,0,IA,GA
80001450,2021-02-19,2020-11-18,10,0,IA,GA
62131979,2021-02-19,2020-10-09,29,129,EA,GA
92556898,2021-02-19,2020-10-09,40,42,EA,GA
31903145,2021-02-22,2020-10-10,0,998,IA,GA
